PRODUTO,OPERACAO
000056,104768
000773,105255
000171,105255
003897,105255
000214,106268
004373,106268
001921,106268
004653,106268
000145,107246
001035,107433
003278,107689
004823,107689
000539,107726
001944,107778
000577,107778
000701,107778
000861,107778
000701,107782
004816,107782
000478,107877
000537,108866
000325,108866
000861,109017
000191,109017
000426,109017
000291,109017
004181,109017
000748,109017
000928,109017
004548,109017
001650,109017
000462,109017
002459,109017
000219,109017
000451,109072
001556,109072
003022,109516
000146,109516
000971,109516
003371,109516
002092,109843
001546,109992
000393,110249
002613,110249
000527,110249
000398,110426
000509,110426
000985,110426
004504,110455
004633,110455
003610,110455
003678,110602
003185,110602
000791,110602
000474,110602
000538,110602
000533,110602
000781,110602
004622,110602
000615,110602
000617,110602
002157,110602
004222,110602
001708,110602
002467,110602
002758,110602
000296,110602
000500,110602
000463,110602
004813,110865
000144,110865
004813,110866
000144,110866
004040,111063
001319,111057
001118,111057
004065,111057
000301,111057
004649,111057
003075,111057
004334,111057
004474,111057
002084,111057
003950,111057
000238,111057
003194,111057
004420,111057
000536,111057
002244,111057
002699,111057
003711,111057
004696,111731
000191,111825
000426,111825
000219,111825
000704,111825
001819,111825
000952,111825
001111,111825
000761,111823
000952,111823
001111,111823
001586,111823
000292,111823
000449,111823
003326,111823
001475,111823
003461,111823
001559,111823
003306,111823
000207,111823
001687,111823
000332,111823
000931,111823
000201,111823
001380,111823
004097,111823
000861,111823
002193,111823
003895,111823
003870,111823
002856,111823
000463,111823
004771,111823
001188,111823
004095,111823
002367,111823
001789,111823
003316,111823
001993,111823
000846,111823
004330,111823
000097,111823
004109,111823
001016,111823
001137,111823
004095,111823
000809,111823
002046,111823
004002,111823
000619,111823
003305,111823
000297,111823
002069,111823
000977,111823
000225,111823
000285,111823
000703,111823
002257,111823
000861,111823
004097,111823
002651,111823
003305,111823
000297,111823
001934,111823
003316,111823
002030,111823
000463,111823
000263,111823
000157,111823
001952,111823
000103,111823
000452,111823
001515,111823
004816,111823
002047,111823
001553,111823
001854,111823
003825,111823
000713,111823
004407,111823
000637,111823
000639,111823
000289,111823
004479,111823
000179,111956
004229,112057
001073,112057
000733,112057
000478,112057
001532,112057
004547,112057
000711,112057
001103,112207
001034,112207
000730,112207
004234,112207
001562,112207
000928,112207
000105,112883
001035,112840
002083,113637
004374,113637
000400,113637
004096,113637
000547,113637
000262,113637
003461,113637
003904,113637
000533,113637
000931,113637
000219,114224
000931,114224
000457,114224
001438,114224
000967,114224
001603,115588
003208,115620
002835,115934
000527,115934
000773,116953
001421,117621
001306,117621
004474,117621
001073,117629
001977,117629
000712,117629
000191,117946
004832,117946
001073,118110
000474,118675
003081,118987
001195,118987
001299,119053
000377,119053
000227,119053
000928,119318
000664,119403
000668,119403
001299,119403
000528,119403
000337,119403
000223,119403
000651,119441
000315,119441
001111,119589
003987,119589
002478,119589
001231,119589
004420,119589
000474,119621
002618,119621
001188,119621
001609,119621
000791,119621
000316,119621
001539,119621
000392,119621
003028,119621
000704,119641
001031,119887
000861,119969
000335,119969
000336,119969
000641,119969
000365,119969
000773,119969
000227,119973
004229,115919
000730,115919
001439,115919
000317,120233
004187,120235
000704,120536
000183,120536
000181,120536
000185,120536
001595,121252
000780,121287
002934,121828
001620,121942
000478,121942
002645,122475
000641,122436
003977,122436
002579,122436
000989,122436
002807,122436
001164,122436
004081,122612
003538,123061
004091,123061
000730,123061
001386,123061
002109,123061
000336,123061
000387,123061
003292,123061
000870,123061
000604,123061
001901,123061
000158,123061
004167,123061
000050,123061
002392,123061
000414,123061
000785,123061
002577,123061
000952,123946
000547,123994
000914,123994
000870,124630
004070,124666
000431,124702
001231,124702
002164,124702
000780,124770
001740,123818
000736,125962
000474,125962
000228,126369
001035,126369
001075,126465
000780,126488
001103,126909
002919,126909
000773,126909
001899,126909
000225,126909
000135,127316
000737,127316
000137,127316
000136,127316
001035,127474
001399,128247
001478,128247
002354,128389
003097,128634
000704,128808
000219,128808
001886,128808
004143,128808
001546,128808
002438,128808
000861,128808
001097,128808
000296,128808
000782,128808
002354,128808
000721,128808
001455,128808
003827,128808
001759,128808
001000,128808
001014,128808
000157,128808
000299,128808
000105,128808
000166,128808
000056,128808
004675,128808
001318,128808
002498,128808
000580,128808
001395,128808
000299,128808
003336,128808
001446,128808
001551,128808
002499,128842
000612,128842
003408,128842
003100,128842
004547,128842
000128,128842
000229,128842
002916,128905
004823,128905
001611,129032
003193,129150
001428,129150
000736,129610
000315,129483
004578,129483
003439,129483
000493,129483
001119,129483
001556,129483
001306,129483
000137,129483
001540,129483
001490,129483
003377,129483
000616,129483
000414,129483
001690,129483
003096,129483
001889,129919
004622,129919
000248,129919
000881,129919
000736,129983
000682,129983
004050,129983
001174,129983
002933,130088
001487,130542
000706,130542
000431,130491
000533,130491
000533,130460
000474,130460
000431,130460
004138,131577
001921,131577
001119,131577
000626,131577
000485,131577
000315,131577
003827,131997
001708,131997
002021,131997
000577,131997
000219,131997
000733,132130
000302,132130
004130,132245
000184,132245
003718,132245
003515,132245
004547,132245
004565,132335
000504,132335
000462,132335
002809,132335
003536,132335
000773,132335
000375,132335
001349,132335
000928,132335
003031,132335
001556,133024
000786,133024
000153,133074
001738,133074
000967,133431
000467,133431
004522,133431
000060,133575
003718,133912
002459,133912
001176,133912
001073,134024
000191,134024
000219,134024
004666,134024
001231,134024
000462,134024
000220,134024
000967,134024
001305,134024
001103,134024
004525,134024
001421,134024
004229,134024
001825,134166
000701,134166
000702,134166
004666,134166
000203,134166
000207,134166
000931,134166
004285,134166
002502,134211
002233,134395
001595,134395
000787,134395
004557,135138
000527,135155
000706,135155
003515,135155
001829,135155
000231,135660
002980,135660
000173,135664
001691,135664
003193,136134
003377,136134
001555,136134
004608,136490
000219,133677
000704,133677
000425,133677
000509,133677
001299,133677
000861,133677
000688,133677
002258,133677
000451,133677
002509,133677
000214,133677
000226,133677
000191,133677
001158,133677
000717,133677
002340,133677
000114,133677
002168,133677
004174,133677
001490,133677
000204,133677
001378,133677
000179,133677
000050,133677
000205,133677
000382,133677
001435,133677
001647,133677
000900,133677
002883,133677
000573,133677
001962,133677
000782,133677
004564,133677
001291,133677
000166,133677
001097,133677
